iter	Accuracy	MultiClass
298	0.987987988	0.3704111757
299	0.987987988	0.3696410277
300	0.987987988	0.3685111212
301	0.987987988	0.367145092
302	0.987987988	0.3659834955
303	0.987987988	0.3649197149
304	0.987987988	0.3638877625
305	0.987987988	0.3616051863
306	0.987987988	0.3602766265
307	0.987987988	0.3592159435
308	0.987987988	0.3578505018
309	0.987987988	0.3570761629
310	0.987987988	0.3555250294
311	0.987987988	0.3541707369
312	0.987987988	0.3528722487
313	0.987987988	0.3513259259
314	0.987987988	0.3495587786
315	0.987987988	0.3479652545
316	0.987987988	0.3463629703
317	0.987987988	0.3452654274
318	0.987987988	0.3435737432
319	0.987987988	0.3425474887
320	0.987987988	0.3410700833
321	0.987987988	0.3401450943
322	0.987987988	0.3391802025
323	0.987987988	0.3382712292
324	0.987987988	0.3375952084
325	0.987987988	0.3362167891
326	0.987987988	0.3346171601
327	0.987987988	0.3329081152
328	0.987987988	0.3321222137
329	0.987987988	0.330797638
330	0.987987988	0.3291726296
331	0.987987988	0.327979709
332	0.987987988	0.3265959221
333	0.987987988	0.3255700876
334	0.987987988	0.323963323
335	0.987987988	0.3227293879
336	0.987987988	0.3216721059
337	0.987987988	0.3207419704
338	0.987987988	0.3198892711
339	0.987987988	0.3181831522
340	0.987987988	0.3167747965
341	0.987987988	0.3154430435
342	0.987987988	0.3147593665
343	0.987987988	0.3138419707
344	0.987987988	0.3131607443
345	0.987987988	0.3119654927
346	0.987987988	0.3106572588
347	0.987987988	0.3098097891
348	0.987987988	0.3093333017
349	0.987987988	0.3085473778
350	0.987987988	0.3073865127
351	0.987987988	0.3065140477
352	0.987987988	0.3054594974
353	0.987987988	0.3045829902
354	0.987987988	0.3038542957
355	0.987987988	0.3032009083
356	0.987987988	0.3026969799
357	0.987987988	0.3020577487
358	0.987987988	0.3013278311
359	0.987987988	0.3007379531
360	0.987987988	0.2997833291
361	0.987987988	0.2989545189
362	0.987987988	0.297417071
363	0.987987988	0.2963733542
364	0.987987988	0.295204813
365	0.987987988	0.2945826884
366	0.987987988	0.2933880576
367	0.987987988	0.292732841
368	0.987987988	0.2919922409
369	0.987987988	0.2911164366
370	0.987987988	0.2896682128
371	0.987987988	0.2887157025
372	0.987987988	0.2881091362
373	0.987987988	0.2870845304
374	0.987987988	0.28668002
375	0.987987988	0.2855856297
376	0.987987988	0.2846132732
